Card Name,Card Code,Copies Possessed (out of 3),Promo Obtain Source (if PR in code)
Blazing Breath,BP01-P20EN,0,
Mordecai the Duelist,BP01-P21EN,0,
Crazed Executioner,BP01-P22EN,0,
Crazed Executioner,BP01-P23EN,0,
Dark General,BP01-P24EN,0,
Rabbit Necromancer,BP01-P25EN,0,
Themis's Decree,BP01-P26EN,0,
Prism Priestess,BP01-P27EN,0,
Prism Priestess,BP01-P28EN,0,
Blackened Scripture,BP01-P29EN,0,
Death Sentence,BP01-P30EN,0,
Wind God,BP01-P31EN,0,
Bellringer Angel,BP01-P32EN,0,
Bellringer Angel,BP01-P33EN,0,
Harnessed Flame,BP01-P34EN,0,
Harnessed Glass,BP01-P35EN,0,
Rose Queen,BP01-SL01EN,0,
Ancient Elf,BP01-SL02EN,0,
Ancient Elf,BP01-SL03EN,0,
Sea Queen Otohime,BP01-SL04EN,0,
Sea Queen Otohime,BP01-SL05EN,0,
"Aurelia, Regal Saber",BP01-SL06EN,0,
Arch Summoner Erasmus,BP01-SL07EN,0,
Merlin,BP01-SL08EN,0,
Merlin,BP01-SL09EN,0,
Dark Dragoon Forte,BP01-SL10EN,0,
Dark Dragoon Forte,BP01-SL11EN,0,
Zirnitra,BP01-SL12EN,0,
Cerberus,BP01-SL13EN,0,
Cerberus,BP01-SL14EN,0,
Lord Atomy,BP01-SL15EN,0,
Moon Al-mi'raj,BP01-SL16EN,0,
Jeanne d'Arc,BP01-SL17EN,0,
Jeanne d'Arc,BP01-SL18EN,0,
Gabriel,BP01-SL19EN,0,
Lucifer,BP01-SL20EN,0,
Lucifer,BP01-SL21EN,0,
Flame and Glass,BP01-SL22EN,0,
Thorn Burst,BP01-T01EN,0,
Fairy Wisp,BP01-T02EN,0,
Fairy,BP01-T03EN,0,
Otohime's Bodyguard,BP01-T04EN,0,
Knight,BP01-T05EN,0,
Viking,BP01-T06EN,0,
Steelclad Knight,BP01-T07EN,0,
Strikeform Golem,BP01-T08EN,0,
Guardform Golem,BP01-T09EN,0,
Magic Sediment,BP01-T10EN,0,
Dragon,BP01-T11EN,0,
Mimi,BP01-T12EN,0,
Coco,BP01-T13EN,0,
Ghost,BP01-T14EN,0,
Forest Bat,BP01-T15EN,0,
Holy Falcon,BP01-T16EN,0,
Holy Tiger,BP01-T17EN,0,
Rose Queen,BP01-U01EN,0,
Sea Queen Otohime,BP01-U02EN,0,
Juno's Secret Laboratory,BP01-U03EN,0,
Dark Dragoon Forte,BP01-U04EN,0,
Medusa,BP01-U05EN,0,
Jeanne d'Arc,BP01-U06EN,0,
Gabriel,BP01-U07EN,0,
Crystalia Tia,BP02-001EN,0,
Crystalia Tia,BP02-002EN,0,
White Wolf of Eldwood,BP02-003EN,0,
Elf Girl Liza,BP02-004EN,0,
Elf Knight Cynthia,BP02-005EN,0,
Grand Archer Selwyn,BP02-006EN,0,
Grand Archer Selwyn,BP02-007EN,0,
Crystalia Lily,BP02-008EN,0,
Crystalia Lily,BP02-009EN,0,
"Baalt, King of the Elves",BP02-010EN,0,
Elven Archery,BP02-011EN,0,
Dwarf Perfumer,BP02-012EN,0,
Elf Healer,BP02-013EN,0,
Forest Gigas,BP02-014EN,0,
Forest Gigas,BP02-015EN,0,
Elf Bard,BP02-016EN,0,
Rose Deer,BP02-017EN,0,
"Albert, Levin Saber",BP02-018EN,0,
"Albert, Levin Saber",BP02-019EN,0,
Alexander,BP02-020EN,0,
"Amelia, Silver Paladin",BP02-021EN,0,
Leonidas,BP02-022EN,0,
Leonidas,BP02-023EN,0,
White Paladin,BP02-024EN,0,
"Jeno, Levin Vanguard",BP02-025EN,0,
"Jeno, Levin Vanguard",BP02-026EN,0,
"Yurius, Levin Duke",BP02-027EN,0,
Whole-Souled Swing,BP02-028EN,0,
Swift Infiltrator,BP02-029EN,0,
Samurai,BP02-030EN,0,
Avant Blader,BP02-031EN,0,
Avant Blader,BP02-032EN,0,
Flame Soldier,BP02-033EN,0,
Gunner Maid Seria,BP02-034EN,0,
"Daria, Dimensional Witch",BP02-035EN,0,
"Daria, Dimensional Witch",BP02-036EN,0,
Sun Oracle Pascale,BP02-037EN,0,
"Anne, Belle of Mysteria",BP02-038EN,0,
"Anne, Belle of Mysteria",BP02-039EN,0,
Grea the Dragonborn,BP02-040EN,0,
Rimewind,BP02-041EN,0,
"Remi & Rami, Witchy Duo",BP02-042EN,0,
"Remi & Rami, Witchy Duo",BP02-043EN,0,
Shadow Witch,BP02-044EN,0,
Multipart Experiment,BP02-045EN,0,
"Craig, Wizard of Mysteria",BP02-046EN,0,
"Craig, Wizard of Mysteria",BP02-047EN,0,
Grand Gargoyle,BP02-048EN,0,
Witchbolt,BP02-049EN,0,
Magical Strategy,BP02-050EN,0,
Red-Hot Ritual,BP02-051EN,0,
Imperial Dragoon,BP02-052EN,0,
Imperial Dragoon,BP02-053EN,0,
Dragonsong Flute,BP02-054EN,0,
Neptune,BP02-055EN,0,
Neptune,BP02-056EN,0,
Draconic Fervor,BP02-057EN,0,
Polyphonic Roar,BP02-058EN,0,
Siegfried,BP02-059EN,0,
Siegfried,BP02-060EN,0,
Transmogrified Wyrm,BP02-061EN,0,
Dracomancer's Rites,BP02-062EN,0,
Wildfang Dragonewt,BP02-063EN,0,
Mushussu,BP02-064EN,0,
Dragontamer,BP02-065EN,0,
Dragontamer,BP02-066EN,0,
Twin-Headed Dragon,BP02-067EN,0,
Draconic Armor,BP02-068EN,0,
"Vania, Vampire Princess",BP02-069EN,0,
Soul Dealer,BP02-070EN,0,
Soul Dealer,BP02-071EN,0,
Underworld Watchman Khawy,BP02-072EN,0,
Azazel,BP02-073EN,0,
Azazel,BP02-074EN,0,
Vampiric Fortress,BP02-075EN,0,
"Veight, Vampire Noble",BP02-076EN,0,
"Veight, Vampire Noble",BP02-077EN,0,
Trick Dullahan,BP02-078EN,0,
Precious Bloodfangs,BP02-079EN,0,
Mini Soul Devil,BP02-080EN,0,
Moriana the Bejeweled,BP02-081EN,0,
Demonic Hedonist,BP02-082EN,0,
Demonic Hedonist,BP02-083EN,0,
Bone Chimera,BP02-084EN,0,
Necrocarnival,BP02-085EN,0,
Heavenly Aegis,BP02-086EN,0,
Heavenly Aegis,BP02-087EN,0,
Enstatued Seraph,BP02-088EN,0,
Kaguya,BP02-089EN,0,
Kaguya,BP02-090EN,0,
Tribunal of Good and Evil,BP02-091EN,0,
Elana's Prayer,BP02-092EN,0,
Radiance Angel,BP02-093EN,0,
Radiance Angel,BP02-094EN,0,
Sapphire Priestess,BP02-095EN,0,
Beastcall Aria,BP02-096EN,0,
Frog Cleric,BP02-097EN,0,
Sky Sprite,BP02-098EN,0,
Soul Collector,BP02-099EN,0,
Soul Collector,BP02-100EN,0,
Sledgehammer Exorcist,BP02-101EN,0,
Emerald Maiden,BP02-102EN,0,
Dark Angel Olivia,BP02-103EN,0,
Bahamut,BP02-104EN,0,
Bahamut,BP02-105EN,0,
Demonic Simulacrum,BP02-106EN,0,
Archangel Reina,BP02-107EN,0,
Archangel Reina,BP02-108EN,0,
Surefire Bullet,BP02-109EN,0,
Unicorn Dancer Unica,BP02-110EN,0,
Unicorn Dancer Unica,BP02-111EN,0,
Gourmet Emperor Khaiza,BP02-112EN,0,
Call of Cocytus,BP02-113EN,0,
Hamsa,BP02-114EN,0,
Sektor,BP02-115EN,0,
Sektor,BP02-116EN,0,
Dance of Death,BP02-117EN,0,
"Michelle, Purehearted Mindreader",BP02-LD01EN,0,
"Prim, Adventuring Princess",BP02-LD02EN,0,
Elf Knight Cynthia,BP02-P01EN,0,
Crystalia Lily,BP02-P02EN,0,
Crystalia Lily,BP02-P03EN,0,
Elven Archery,BP02-P04EN,0,
Rose Deer,BP02-P05EN,0,
White Paladin,BP02-P06EN,0,
"Jeno, Levin Vanguard",BP02-P07EN,0,
"Jeno, Levin Vanguard",BP02-P08EN,0,
"Yurius, Levin Duke",BP02-P09EN,0,
Flame Soldier,BP02-P10EN,0,
Rimewind,BP02-P11EN,0,
"Remi & Rami, Witchy Duo",BP02-P12EN,0,
"Remi & Rami, Witchy Duo",BP02-P13EN,0,
Multipart Experiment,BP02-P14EN,0,
Magical Strategy,BP02-P15EN,0,
Draconic Fervor,BP02-P16EN,0,
Siegfried,BP02-P17EN,0,
Siegfried,BP02-P18EN,0,
Dracomancer's Rites,BP02-P19EN,0,
Draconic Armor,BP02-P20EN,0,
Underworld Watchman Khawy,BP02-P21EN,0,
"Veight, Vampire Noble",BP02-P22EN,0,
"Veight, Vampire Noble",BP02-P23EN,0,
Trick Dullahan,BP02-P24EN,0,
Necrocarnival,BP02-P25EN,0,
Elana's Prayer,BP02-P26EN,0,
Radiance Angel,BP02-P27EN,0,
Radiance Angel,BP02-P28EN,0,
Sapphire Priestess,BP02-P29EN,0,
Emerald Maiden,BP02-P30EN,0,
Demonic Simulacrum,BP02-P31EN,0,
Unicorn Dancer Unica,BP02-P32EN,0,
Unicorn Dancer Unica,BP02-P33EN,0,
Gourmet Emperor Khaiza,BP02-P34EN,0,
Dance of Death,BP02-P35EN,0,
Crystalia Tia,BP02-SL01EN,0,
Crystalia Tia,BP02-SL02EN,0,
White Wolf of Eldwood,BP02-SL03EN,0,
"Albert, Levin Saber",BP02-SL04EN,0,
"Albert, Levin Saber",BP02-SL05EN,0,
Alexander,BP02-SL06EN,0,
"Daria, Dimensional Witch",BP02-SL07EN,0,
"Daria, Dimensional Witch",BP02-SL08EN,0,
Sun Oracle Pascale,BP02-SL09EN,0,
Imperial Dragoon,BP02-SL10EN,0,
Imperial Dragoon,BP02-SL11EN,0,
Dragonsong Flute,BP02-SL12EN,0,
"Vania, Vampire Princess",BP02-SL13EN,0,
Soul Dealer,BP02-SL14EN,0,
Soul Dealer,BP02-SL15EN,0,
Heavenly Aegis,BP02-SL16EN,0,
Heavenly Aegis,BP02-SL17EN,0,
Enstatued Seraph,BP02-SL18EN,0,
Dark Angel Olivia,BP02-SL19EN,0,
Bahamut,BP02-SL20EN,0,
Bahamut,BP02-SL21EN,0,
Crystalia Eve,BP02-T01EN,0,
Shield Guardian,BP02-T02EN,0,
Leonidas's Resolve,BP02-T03EN,0,
Magical Pawn,BP02-T04EN,0,
Megalorca,BP02-T05EN,0,
Hellflame Dragon,BP02-T06EN,0,
Draconic Weapon,BP02-T07EN,0,
Ephemeral Moon,BP02-T08EN,0,
Thorn Burst,BP02-T09EN,0,
Fairy Wisp,BP02-T10EN,0,
Fairy,BP02-T11EN,0,
Knight,BP02-T12EN,0,
Strikeform Golem,BP02-T13EN,0,
Guardform Golem,BP02-T14EN,0,
Magic Sediment,BP02-T15EN,0,
Dragon,BP02-T16EN,0,
Ghost,BP02-T17EN,0,
Forest Bat,BP02-T18EN,0,
Holy Falcon,BP02-T19EN,0,
Holy Tiger,BP02-T20EN,0,
Crystalia Tia,BP02-U01EN,0,
"Amelia, Silver Paladin",BP02-U02EN,0,
"Anne, Belle of Mysteria",BP02-U03EN,0,
Imperial Dragoon,BP02-U04EN,0,
"Vania, Vampire Princess",BP02-U05EN,0,
Kaguya,BP02-U06EN,0,
Bahamut,BP02-U07EN,0,
Beauty and the Beast,BP03-001EN,0,
Cosmos Fang,BP03-002EN,0,
Cosmos Fang,BP03-003EN,0,
"Magical Fairy, Lilac",BP03-004EN,0,
"Slade, Blossoming Wolf",BP03-005EN,0,
"Slade, Blossoming Wolf",BP03-006EN,0,
Elf Twins' Assault,BP03-007EN,0,
Abby the Axe Girl,BP03-008EN,0,
Gerbera Bear,BP03-009EN,0,
Gerbera Bear,BP03-010EN,0,
Wood of Brambles,BP03-011EN,0,
Flower Princess,BP03-012EN,0,
Fen Sprite,BP03-013EN,0,
"Tweedle Dum, Tweedle Dee",BP03-014EN,0,
"Tweedle Dum, Tweedle Dee",BP03-015EN,0,
Floral Breeze,BP03-016EN,0,
Woodland Band,BP03-017EN,0,
Cinderella,BP03-018EN,0,
Valiant Fencer,BP03-019EN,0,
Valiant Fencer,BP03-020EN,0,
"Maisy, Red Riding Hood",BP03-021EN,0,
"Amerro, Spear Knight",BP03-022EN,0,
"Amerro, Spear Knight",BP03-023EN,0,
Castle in the Sky,BP03-024EN,0,
Young Ogrehunter Momo,BP03-025EN,0,
Mach Knight,BP03-026EN,0,
Mach Knight,BP03-027EN,0,
Kiss of the Princess,BP03-028EN,0,
Rabbit Ear Attendant,BP03-029EN,0,
Old Man and Old Woman,BP03-030EN,0,
Bladed Hedgehog,BP03-031EN,0,
Bladed Hedgehog,BP03-032EN,0,
Ironwrought Defender,BP03-033EN,0,
Heroic Entry,BP03-034EN,0,
Wizardess of Oz,BP03-035EN,0,
"Witch of Calamity, Millie Parfait",BP03-036EN,0,
Mystic King,BP03-037EN,0,
Mystic King,BP03-038EN,0,
"Falise, Leonardian Mage",BP03-039EN,0,
"Milady, Mystic Queen",BP03-040EN,0,
"Milady, Mystic Queen",BP03-041EN,0,
Check,BP03-042EN,0,
"Mr. Heinlein, Shadow Mage",BP03-043EN,0,
Magical Knight,BP03-044EN,0,
Magical Knight,BP03-045EN,0,
Gingerbread House,BP03-046EN,0,
It's a Sweets Buffet!,BP03-047EN,0,
Witch of Sweets,BP03-048EN,0,
Witch of Sweets,BP03-049EN,0,
Magical Rook,BP03-050EN,0,
Magical Bishop,BP03-051EN,0,
Blitz,BP03-052EN,0,
Witch's Cauldron,BP03-053EN,0,
The Cauldron of Calamity,BP03-054EN,0,
Jabberwock,BP03-055EN,0,
Lævateinn Dragon,BP03-056EN,0,
Lævateinn Dragon,BP03-057EN,0,
"Lævateinn Dragon, Attack Form",BP03-058EN,0,
Red Ragewyrm,BP03-059EN,0,
"Draconir, Knuckle Dragon",BP03-060EN,0,
"Draconir, Knuckle Dragon",BP03-061EN,0,
Tilting at Windmills,BP03-062EN,0,
Master of Draconic Arts,BP03-063EN,0,
Hammer Dragonewt,BP03-064EN,0,
Hammer Dragonewt,BP03-065EN,0,
Draconic Smash,BP03-066EN,0,
Elder Tortoise,BP03-067EN,0,
Trinity Dragon,BP03-068EN,0,
Dragon Summoner,BP03-069EN,0,
Dragon Summoner,BP03-070EN,0,
Lance Lizard,BP03-071EN,0,
Armor Burst,BP03-072EN,0,
Dark Alice,BP03-073EN,0,
Masquerade Ghost,BP03-074EN,0,
Masquerade Ghost,BP03-075EN,0,
"Odile, Black Swan",BP03-076EN,0,
"Demonium, Punk Devil",BP03-077EN,0,
"Baccherus, Peppy Ghostie",BP03-078EN,0,
"Baccherus, Peppy Ghostie",BP03-079EN,0,
Demon Maestro,BP03-080EN,0,
Trombone Devil,BP03-081EN,0,
Trombone Devil,BP03-082EN,0,
Furtive Fangs,BP03-083EN,0,
Pumpkin Necromancer,BP03-084EN,0,
Parade Raven,BP03-085EN,0,
Mischievous Zombie,BP03-086EN,0,
Mischievous Zombie,BP03-087EN,0,
Devilish Flautist,BP03-088EN,0,
Infernal Orchestration,BP03-089EN,0,
Princess Snow White,BP03-090EN,0,
Diamond Master,BP03-091EN,0,
Diamond Master,BP03-092EN,0,
"Odette, White Swan",BP03-093EN,0,
"Wingy, Chirpy Gemstone",BP03-094EN,0,
"Wingy, Chirpy Gemstone",BP03-095EN,0,
Alice's Adventure,BP03-096EN,0,
White Knight,BP03-097EN,0,
Ruby Falcon,BP03-098EN,0,
Ruby Falcon,BP03-099EN,0,
March Hare's Teatime,BP03-100EN,0,
Tin Soldier,BP03-101EN,0,
Pinion Prince,BP03-102EN,0,
Pinion Prince,BP03-103EN,0,
Birdkeeping Disciple,BP03-104EN,0,
Amethyst Lion,BP03-105EN,0,
Bejeweled Shrine,BP03-106EN,0,
"Alice, Wonderland Explorer",BP03-107EN,0,
"Alice, Wonderland Explorer",BP03-108EN,0,
Angel of Chaos,BP03-109EN,0,
Rapunzel,BP03-110EN,0,
Seraph of Sin,BP03-111EN,0,
"Garuel, Seraphic Leo",BP03-112EN,0,
"Garuel, Seraphic Leo",BP03-113EN,0,
Actress Feria,BP03-114EN,0,
Humpty Dumpty,BP03-115EN,0,
Humpty Dumpty,BP03-116EN,0,
Winged Inversion,BP03-117EN,0,
Angel of Darkness,BP03-118EN,0,
Harbinger of the Night,BP03-119EN,0,
Harbinger of the Night,BP03-120EN,0,
Eggsplosion,BP03-121EN,0,
"Witch of Calamity, Millie Parfait",BP03-LD%E2%93%8801EN,0,
Itsuki Mitsutagawa,BP03-LD01EN,0,
"Daria, Dimension Drifter",BP03-LD02EN,0,
Light Tenryu,BP03-LD03EN,0,
Subaru Makabe,BP03-LD04EN,0,
"Yuti, Meus Princess",BP03-LD05EN,0,
Elf Twins' Assault,BP03-P01EN,0,
Gerbera Bear,BP03-P02EN,0,
Gerbera Bear,BP03-P03EN,0,
Wood of Brambles,BP03-P04EN,0,
Floral Breeze,BP03-P05EN,0,
"Maisy, Red Riding Hood",BP03-P06EN,0,
Young Ogrehunter Momo,BP03-P07EN,0,
Mach Knight,BP03-P08EN,0,
Mach Knight,BP03-P09EN,0,
Ironwrought Defender,BP03-P10EN,0,
"Falise, Leonardian Mage",BP03-P11EN,0,
"Mr. Heinlein, Shadow Mage",BP03-P12EN,0,
Magical Knight,BP03-P13EN,0,
Magical Knight,BP03-P14EN,0,
Witch's Cauldron,BP03-P15EN,0,
Tilting at Windmills,BP03-P16EN,0,
Hammer Dragonewt,BP03-P17EN,0,
Hammer Dragonewt,BP03-P18EN,0,
Draconic Smash,BP03-P19EN,0,
Lance Lizard,BP03-P20EN,0,
"Odile, Black Swan",BP03-P21EN,0,
Demon Maestro,BP03-P22EN,0,
Trombone Devil,BP03-P23EN,0,
Trombone Devil,BP03-P24EN,0,
Pumpkin Necromancer,BP03-P25EN,0,
Alice's Adventure,BP03-P26EN,0,
Ruby Falcon,BP03-P27EN,0,
Ruby Falcon,BP03-P28EN,0,
March Hare's Teatime,BP03-P29EN,0,
Amethyst Lion,BP03-P30EN,0,
Rapunzel,BP03-P31EN,0,
Actress Feria,BP03-P32EN,0,
Angel of Darkness,BP03-P33EN,0,
Harbinger of the Night,BP03-P34EN,0,
Harbinger of the Night,BP03-P35EN,0,
Beauty and the Beast,BP03-SL01EN,0,
Cosmos Fang,BP03-SL02EN,0,
Cosmos Fang,BP03-SL03EN,0,
Cinderella,BP03-SL04EN,0,
Valiant Fencer,BP03-SL05EN,0,
Valiant Fencer,BP03-SL06EN,0,
Wizardess of Oz,BP03-SL07EN,0,
Mystic King,BP03-SL08EN,0,
Mystic King,BP03-SL09EN,0,
Jabberwock,BP03-SL10EN,0,
Lævateinn Dragon,BP03-SL11EN,0,
Lævateinn Dragon,BP03-SL12EN,0,
"Lævateinn Dragon, Attack Form",BP03-SL13EN,0,
Dark Alice,BP03-SL14EN,0,
Masquerade Ghost,BP03-SL15EN,0,
Masquerade Ghost,BP03-SL16EN,0,
Princess Snow White,BP03-SL17EN,0,
Diamond Master,BP03-SL18EN,0,
Diamond Master,BP03-SL19EN,0,
"Alice, Wonderland Explorer",BP03-SL20EN,0,
"Alice, Wonderland Explorer",BP03-SL21EN,0,
Angel of Chaos,BP03-SL22EN,0,
"Witch of Calamity, Millie Parfait",BP03-SP01EN,0,
Gargantuan Ghost,BP03-T01EN,0,
Fairy,BP03-T02EN,0,
Magic Sediment,BP03-T03EN,0,
Magical Pawn,BP03-T04EN,0,
Draconic Weapon,BP03-T05EN,0,
Ghost,BP03-T06EN,0,
Holy Falcon,BP03-T07EN,0,
"Magical Fairy, Lilac",BP03-U01EN,0,
Cinderella,BP03-U02EN,0,
Wizardess of Oz,BP03-U03EN,0,
